id_usuario,nombre,correo,identificacion,tipo_usuario,fecha_registro,estado,saldo
1,Sarah Mcdonald,xdennis@example.net,28916812,docente,2023-09-20,activo,37876
2,Michael Smith,ericmiller@example.net,6444723,estudiante,2022-11-22,activo,90379
3,Keith Gonzalez,samuelnoble@example.com,5402077,estudiante,2023-09-25,bloqueado,21430
4,Keith Walker,conniebuchanan@example.com,31019513,docente,2023-10-01,bloqueado,16380
5,Jose Floyd,yolanda57@example.net,36372224,estudiante,2024-01-18,activo,77893
6,Daniel Shaffer,mstevens@example.org,24954747,docente,2024-03-17,bloqueado,67287
7,Jacqueline Robinson,angelathompson@example.net,83677350,estudiante,2023-06-17,bloqueado,15971
8,Drew Taylor PhD,gonzalezmary@example.net,12693512,estudiante,2023-07-26,activo,71762
9,David Garcia,zrodriguez@example.org,4435496,estudiante,2022-12-30,bloqueado,28979
10,Lisa Blair,catherinemunoz@example.net,68063840,docente,2024-02-01,activo,9068
11,John Williams,kelseywilliams@example.com,37005148,estudiante,2023-09-10,bloqueado,66592
12,Nathan Russell,sancheztimothy@example.com,31469369,estudiante,2023-01-10,activo,6089
13,Paula Osborne,drodriguez@example.com,85065994,estudiante,2024-03-03,bloqueado,79698
14,Willie Osborn,thomasjennifer@example.com,78794414,estudiante,2022-11-18,bloqueado,64581
15,Shawn Robinson,davidhansen@example.org,97085065,docente,2022-11-11,activo,16855
16,James Copeland,vdavis@example.net,96985390,docente,2023-06-13,activo,71601
17,Sherry Jackson,wagnerangela@example.org,66714230,estudiante,2024-02-25,bloqueado,31357
18,Mary Lee,echristensen@example.net,17544675,docente,2022-12-03,activo,68557
19,Ethan Carrillo,troyspears@example.net,62645878,docente,2023-09-24,activo,82979
20,Erik Krause,steven80@example.net,20360357,docente,2022-10-09,activo,78484
21,Vanessa Yang,housevalerie@example.net,35917383,docente,2024-02-05,bloqueado,10391
22,Donna Brown,courtney07@example.org,65568426,estudiante,2024-03-07,activo,64475
23,Nathan Murphy,uwilson@example.com,24148715,estudiante,2022-12-31,bloqueado,56470
24,Elizabeth Martin,sawyerjohnny@example.com,90196778,estudiante,2023-03-05,activo,65051
25,John Brewer,terrence30@example.net,83898304,estudiante,2023-10-26,activo,68809
26,Bianca Rose,gtucker@example.net,6104640,docente,2023-01-07,bloqueado,88000
27,Jennifer Newton,gpage@example.net,84410009,estudiante,2023-08-20,activo,8263
28,Tina Guerra,kennedygloria@example.org,30037065,estudiante,2022-11-25,bloqueado,74209
29,Anthony Dunn,natalie98@example.com,50296298,estudiante,2023-12-30,activo,80482
30,Katrina Duncan,nunezcheryl@example.org,28261787,docente,2024-04-04,bloqueado,81913
31,Andrew Calhoun,cosborne@example.org,79358005,estudiante,2022-10-05,bloqueado,5419
32,Elizabeth Brewer,larrylynch@example.com,94557003,estudiante,2022-08-10,activo,34790
33,Jose Key MD,stephensaunders@example.com,17423973,docente,2024-03-07,activo,62356
34,Gavin Lee,matthewjackson@example.org,97950050,estudiante,2023-04-25,bloqueado,53649
35,Christine Wilson,christyrosales@example.net,64433688,estudiante,2022-08-09,activo,86284
36,Barry Lloyd,abray@example.com,75769187,estudiante,2024-01-18,bloqueado,33053
37,Kelsey Blair,raven84@example.org,27372418,docente,2024-02-03,activo,73635
38,Diane Ruiz,jessica40@example.net,25851966,estudiante,2023-03-24,activo,62462
39,Amber Hall,wallacechristopher@example.net,91364743,estudiante,2022-07-02,activo,3865
40,Anthony Hamilton,ortizrebecca@example.net,98033171,estudiante,2022-09-06,bloqueado,40570
41,Angie Merritt,wandabutler@example.com,3375011,docente,2022-05-22,bloqueado,7182
42,Tracey Smith,qblankenship@example.com,50163940,docente,2023-03-17,activo,71910
43,Nicole Carroll,galvansarah@example.com,54704456,estudiante,2022-12-15,bloqueado,96938
44,Lisa Ellis,rmartinez@example.com,32337629,docente,2023-04-12,bloqueado,17308
45,Gloria Tate,foleycassandra@example.net,77736717,docente,2024-01-31,activo,85025
46,Heather Stewart,mossdevon@example.org,14648218,estudiante,2023-05-04,activo,31427
47,Terri Rodriguez,robert53@example.org,23726275,estudiante,2024-01-29,bloqueado,56058
48,Amy Hawkins,paul66@example.org,42413528,estudiante,2024-01-02,activo,60590
49,Michael Gonzalez,jenna98@example.net,89854886,docente,2022-06-08,activo,89190
50,Catherine Sheppard,jacksonhaley@example.com,69494809,estudiante,2024-01-10,bloqueado,76467
51,Nicole Higgins,cjones@example.org,14367946,estudiante,2023-11-26,bloqueado,56380
52,William Robinson,dgray@example.org,69363923,estudiante,2023-10-21,bloqueado,73898
53,Michael Long,mark51@example.com,90506545,estudiante,2023-10-11,activo,48069
54,Matthew Glass,amylloyd@example.com,46052502,estudiante,2023-02-25,bloqueado,76798
55,Morgan Gutierrez,dawsonjessica@example.com,50169030,docente,2023-05-26,activo,77765
56,Pamela Conrad MD,mirandakelly@example.net,7754231,estudiante,2022-06-26,activo,6706
57,Jacqueline Parker,bensonzachary@example.org,41752824,estudiante,2024-03-28,bloqueado,4604
58,Kevin Hansen,williamsmelissa@example.net,75557187,estudiante,2023-09-13,activo,86019
59,Maurice Collins,helen99@example.net,97294601,estudiante,2022-10-28,bloqueado,5373
60,Thomas Edwards,fowlerdonna@example.net,30557111,estudiante,2024-04-14,activo,10406
61,Harold Ware,matthewhart@example.net,58227265,estudiante,2023-09-13,bloqueado,49507
62,Victoria Nelson,eballard@example.net,71944278,estudiante,2023-01-08,bloqueado,92552
63,Steve Wright,joshua91@example.com,4330147,estudiante,2022-12-21,activo,57697
64,Daniel Campos,jamesjohnson@example.com,34771794,estudiante,2023-06-12,activo,31382
65,Cindy Brown,smcdonald@example.net,48549788,docente,2023-05-31,bloqueado,26972
66,Teresa Pruitt,hallmichael@example.org,73893025,estudiante,2022-07-19,bloqueado,17959
67,Sonia Fields,johnsonmichael@example.com,53905128,docente,2024-04-22,bloqueado,7836
68,Arthur Ramsey,dixonsara@example.org,81525363,estudiante,2022-08-28,bloqueado,95792
69,Jessica Rosales,kwatson@example.com,70343638,estudiante,2023-10-23,activo,5252
70,Bradley Dunn,lross@example.net,63753379,estudiante,2024-05-06,bloqueado,52026
71,Kimberly Baker,terri84@example.com,66156523,docente,2023-02-06,activo,59366
72,Philip Cummings,danielletucker@example.net,57965738,estudiante,2022-07-04,bloqueado,25331
73,Paige Mcdaniel,lindaspencer@example.org,38770874,docente,2024-03-15,activo,72521
74,Chase Lyons,josephray@example.org,24742237,estudiante,2024-01-08,bloqueado,46334
75,Lacey Parker,jmorales@example.net,30197004,estudiante,2024-01-08,activo,54155
76,Brooke Johnson,warren10@example.net,65521134,docente,2022-11-10,activo,81118
77,Bradley Tran,amberbarnes@example.com,28636169,estudiante,2023-02-23,activo,51595
78,Judith Williams,zwalker@example.org,8943121,estudiante,2023-08-26,bloqueado,3498
79,Margaret David,robinsonperry@example.org,50688403,estudiante,2023-09-23,bloqueado,87009
80,Amber Sosa,gmathis@example.org,26851022,estudiante,2023-09-12,bloqueado,68684
81,Charlene Owens,ythornton@example.org,76621719,estudiante,2022-08-01,activo,71344
82,Angela Hill,hcline@example.org,61370151,docente,2023-12-18,bloqueado,66105
83,Michele Cook,ecarroll@example.com,53426008,estudiante,2022-06-18,activo,82137
84,Tiffany Duncan,carterjames@example.org,25425853,estudiante,2024-03-12,activo,99634
85,Brandon Irwin,jamiesmall@example.org,87253511,docente,2022-05-17,bloqueado,8206
86,Eric Hall,dixonpaul@example.org,12620503,docente,2023-09-10,activo,46792
87,Eileen Young,matthewray@example.com,46739705,estudiante,2024-03-16,bloqueado,7407
88,Allen Roach,vpena@example.net,73689782,docente,2022-05-15,bloqueado,21897
89,Aaron Garcia,xlane@example.net,49501951,estudiante,2022-11-13,activo,70311
90,Vicki Stein,ethan17@example.com,20868349,docente,2023-05-06,activo,28934
91,Alison Roy,ikennedy@example.net,63495472,docente,2023-11-03,bloqueado,90839
92,Matthew Glover,toddchang@example.net,3859020,estudiante,2023-06-07,activo,35152
